Fantasy/NNP	(NNP,1) (root,1) (Fantasy,1) 
forward/RB	(RB,1) (advmod,1) (forward,1) (root,1) (VBD,1) (had,1) (VB,1) (push,1) (xcomp,1) 
believed/VBN	(VBN,1) (VBP,1) (hadnt,1) (root,1) (believed,1) (dep,1) 
accusatory/NNS	(caught,1) (NNS,1) (accusatory,1) (root,1) (VBD,1) (nmod:leonardo,1) 
admit/VB	(ccomp,2) (admit,1) (VBP,1) (root,1) (VBD,1) (VB,1) (write,1) (did,1) 
hadnt/VBP	(VBP,1) (hadnt,1) (root,1) 
frequented/VBD	(frequented,1) (root,1) (VBD,1) 
booths/NNS	(scrattered,1) (NNS,1) (VBN,1) (nsubjpass,1) (booths,1) (root,1) 
shovels/NNS	(lot,1) (NN,1) (NNS,1) (nmod:of,1) (root,1) (shovels,1) (VBD,1) (had,1) (dobj,1) 
read/VB	(read,1) (VBP,1) (root,1) (havent,1) (VB,1) (xcomp,1) 
old/JJ	(NN,1) (JJ,1) (old,1) (root,1) (VBD,1) (man,1) (said,1) (nsubj,1) (amod,1) 
winked/VBN	(VBN,1) (winked,1) (root,1) 
three/CD	(NN,1) (CD,1) (nmod:of,1) (nummod,1) (glanced,1) (VB,1) (three,1) (xcomp,1) (see,1) (NNS,1) (root,1) (men,1) (VBD,1) (dobj,1) (group,1) 
Leather/JJ	(scrattered,1) (JJ,1) (NNS,1) (VBN,1) (nsubjpass,1) (booths,1) (root,1) (Leather,1) (amod,1) 
as/IN	(as,1) (VBN,1) (IN,1) (root,1) (laughed,1) (VBD,1) (advcl,1) (mark,1) (wrinkled,1) 
fiction/NN	(NN,1) (NNP,1) (fiction,1) (root,1) (Fantasy,1) (appos,1) 
one/NN	(NN,1) (called,1) (root,1) (one,1) (VBD,1) (nsubj,1) 
suppose/VB	(root,1) (VB,1) (suppose,1) 
theatre/NN	(frequented,1) (theatre,1) (NN,1) (root,1) (VBD,1) (dobj,1) 
sudden/JJ	(JJ,2) (NN,3) (VB,1) (amod,1) (xcomp,1) (appos,1) (ears,1) (nmod:in,1) (find,1) (street,1) (sudden,1) (root,1) (hard,1) (silence,1) (nmod:on,1) 
twinkled/VBN	(NNS,1) (VBN,2) (twinkled,1) (root,1) (acl,1) (eyes,1) (dep,1) (wrinkled,1) 
corner/VB	(corner,1) (root,1) (VB,1) 
aimlessly/RB	(RB,1) (advmod,1) (wandered,1) (root,1) (VBD,1) (aimlessly,1) 
deepest/JJS	(NNS,1) (JJS,1) (VBN,1) (ccomp,1) (replied,1) (deepest,1) (root,1) (VBD,1) (destined,1) (pits,1) (nmod:for,1) (amod,1) 
doing/VBG	(doing,1) (VBP,1) (hadnt,1) (root,1) (VBG,1) (dep,1) 
when/WRB	(advmod,1) (WRB,1) (root,1) (VBD,1) (had,1) (when,1) 
laughed/VBD	(VBN,1) (root,1) (laughed,1) (VBD,1) (advcl,1) (wrinkled,1) 
cigars/NNS	(took,1) (NNS,1) (cigars,1) (root,1) (VBD,1) (nmod:on,1) 
adding/VBG	(replied,1) (root,1) (adding,1) (VBD,1) (VBG,1) (advcl,1) 
ashamed/JJ	(ashamed,1) (JJ,1) (NNP,1) (Im,1) (root,1) (VBD,1) (lived,1) (nsubj,1) (amod,1) 
joked/VBD	(JJ,2) (ccomp,1) (alive,1) (root,1) (VBD,1) (advcl,1) (joked,1) (funny,1) 
lived/VBD	(root,1) (VBD,1) (lived,1) 
appeared/VBN	(appeared,1) (VBN,1) (root,1) 
where/WRB	(NN,1) (acl:relcl,1) (advmod,1) (VBN,1) (death,1) (nmod:after,1) (WRB,1) (root,1) (end,1) (where,1) (VB,1) (stumbled,1) 
silence/NN	(JJ,1) (NN,3) (VB,1) (xcomp,1) (appos,1) (ears,1) (nmod:in,1) (find,1) (street,1) (root,1) (hard,1) (silence,1) (nmod:on,1) 
hell/NN	(NN,1) (NNS,1) (VBN,1) (ccomp,1) (replied,1) (nmod:of,1) (root,1) (VBD,1) (destined,1) (pits,1) (nmod:for,1) (hell,1) 
death/NN	(NN,1) (VBN,1) (death,1) (nmod:after,1) (root,1) (stumbled,1) 
deviants/VBZ	(like,1) (VBP,1) (root,1) (advcl,1) (deviants,1) (VBZ,1) 
Hed/NNP	(NNP,1) (wandered,1) (Hed,1) (root,1) (VBD,1) (nsubj,1) 
fifties/JJ	(NN,1) (JJ,1) (lounge,1) (looked,1) (root,1) (VBD,1) (nmod:like,1) (fifties,1) (amod,1) 
said/VBD	(root,1) (VBD,1) (said,1) 
that/IN	(JJ,2) (alive,1) (IN,1) (go,1) (joked,1) (VB,1) (that,1) (ccomp,2) (root,1) (VBD,1) (advcl,1) (funny,1) (mark,1) 
called/VBD	(called,1) (root,1) (VBD,1) 
