zoomed/VBN	(VBN,1) (root,1) (zoomed,1) 
every/DT	(NN,1) (DT,1) (det,1) (root,1) (evening,1) (every,1) 
Miss/NNP	(Granger,1) (NNP,2) (found,1) (VBN,1) (root,1) (Miss,1) (compound,1) (xcomp,1) 
ground/NN	(NN,1) (nmod:towards,1) (root,1) (VBG,1) (ground,1) (plummeting,1) 
Snape/NNP	(NNP,1) (hissed,1) (root,1) (VBD,1) (nsubj,1) (Snape,1) 
stay/VB	(VBP,1) (want,1) (root,1) (VB,1) (xcomp,1) (stay,1) 
a/DT	(NN,1) (DT,1) (a,1) (det,1) (root,1) (holiday,1) 
down/RP	(compound:prt,1) (root,1) (VBD,1) (up,1) (down,1) (ran,1) (RP,2) (dep,1) 
tensely/RB	(RB,1) (advmod,1) (root,1) (VBD,1) (said,1) (tensely,1) 
knowing/VBG	(love,1) (move,1) (knowing,1) (csubj,1) (VBP,2) (root,1) (parataxis,1) (VBG,1) 
being/JJ	(nodded,1) (JJ,1) (NNS,1) (imagine,1) (ccomp,1) (root,1) (VBD,1) (being,1) (VB,1) (dobj,1) (amod,1) (friends,1) 
smiles/VBZ	(ccomp,1) (smiles,1) (AND,1) (root,1) (VBZ,2) 
not/RB	(JJ,1) (RB,1) (neg,1) (not,1) (sure,1) (root,1) 
pulling/VBG	(ccomp,1) (asked,1) (root,1) (pulling,1) (VBD,1) (VBG,1) 
go/VB	(root,1) (go,1) (VB,1) 
then/RB	(RB,1) (took,1) (advmod,1) (left,1) (root,1) (VBD,2) (conj:and,1) (then,1) 
shook/VBD	(shook,1) (root,1) (swept,1) (VBD,2) (conj:and,1) 
start/NN	(NN,2) (root,1) (start,1) (nmod:to,1) (floor,1) 
sure/JJ	(JJ,1) (sure,1) (root,1) 
enemy/NN	(NN,2) (root,1) (enemy,1) (list,1) (compound,1) 
quickly/RB	(nodded,1) (RB,1) (advmod,1) (root,1) (quickly,1) (VBD,1) 
letter/NN	(JJ,1) (NN,1) (slit,1) (VBP,1) (root,1) (letter,1) (VBD,1) (conj:and,1) (nsubj,1) (smirked,1) (open,1) (xcomp,1) 
here/RB	(NN,1) (here,1) (RB,1) (nmod:in,1) (root,1) (VBD,1) (had,1) (VBG,1) (acl,1) (dobj,1) (meeting,1) (coming,1) 
Quidditch/NNP	(Quidditch,1) (waiting,1) (check,1) (VB,1) (compound,1) (xcomp,1) (stands,1) (NNP,1) (NNS,1) (ccomp,1) (nmod:in,1) (root,1) (VBD,1) (pinched,1) (VBG,1) 
offered/VBD	(offered,1) (root,1) (VBD,1) 
like/IN	(acl:relcl,1) (NN,1) (like,1) (IN,1) (Maxime,1) (girl,1) (NNP,1) (offered,1) (managed,1) (root,1) (VBD,2) (nmod:to,1) (nmod:like,1) (case,1) 
A/DT	(NN,1) (DT,1) (A,1) (figure,1) (det,1) (VBN,1) (root,1) (nsubj,1) (zoomed,1) 
table/NN	(NN,1) (root,1) (VBD,1) (nmod:on,1) (put,1) (table,1) 
hear/VB	(JJ,2) (ccomp,1) (thought,1) (root,1) (VBD,1) (parataxis,1) (advcl,1) (worried,1) (VB,1) (hear,1) (wrong,1) 
kitchen/NN	(NN,1) (nmod:from,1) (Get,1) (root,1) (VB,1) (kitchen,1) 
place/NN	(NN,1) (nmod:in,1) (root,1) (place,1) (VB,1) (put,1) 
start/VB	(root,1) (start,1) (VBD,1) (parataxis,1) (said,1) (VB,1) 
stopped/VBD	(stopped,1) (root,1) (VBD,1) 
have/VB	(JJ,1) (root,1) (have,1) (VB,1) (fun,1) (xcomp,1) 
came/VBD	(root,1) (came,1) (VBD,1) 
barely/RB	(RB,1) (advmod,1) (see,1) (VBN,1) (root,1) (barely,1) (parataxis,1) (VB,1) (zoomed,1) 
at/IN	(NN,1) (nmod:at,1) (at,1) (excuse,1) (IN,1) (root,1) (gave,1) (VBD,1) (case,1) 
may/MD	(may,1) (aux,1) (root,1) (MD,1) (go,1) (VB,1) 
Best/JJS	(NN,1) (JJS,1) (be,1) (cop,1) (root,1) (Best,1) (evening,1) (VB,1) (nsubj,1) 
talk/VB	(wanted,1) (root,1) (VBD,1) (talk,1) (VB,1) (xcomp,1) 
Hagrid/NNP	(NN,2) (NNP,1) (nmod:in,1) (nmod:of,1) (root,1) (came,1) (VBD,1) (Hagrid,1) (traveller,1) (appos,1) (pocket,1) 
on/IN	(NN,1) (IN,1) (root,1) (holiday,1) (case,1) (on,1) 
Ludo/NNP	(Ludo,1) (NNP,1) (root,1) (ripping,1) (VBG,1) (dobj,1) 
When/WRB	(JJ,1) (advmod,1) (JJR,1) (When,1) (younger,1) (WRB,1) (root,1) (advcl,1) (fun,1) 
day/NN	(NN,1) (NNP,1) (VBN,1) (root,1) (rung,1) (dobj,1) (day,1) (Lily,1) (dep,1) 
drills/NNS	(NN,1) (NNS,1) (drills,1) (nmod:about,1) (Get,1) (root,1) (VB,1) (dobj,1) (something,1) 
stove/NN	(JJ,1) (NN,1) (NNS,1) (root,1) (stove,1) (tops,1) (simmering,1) (VBG,1) (advcl,1) (hot,1) (nmod:on,1) (compound,1) 
were/VBD	(were,1) (root,1) (VBD,1) 
falling/VBG	(silk,1) (NN,2) (falling,1) (VBN,1) (nmod:of,1) (dressed,1) (acl,1) (appos,1) (NNS,1) (skirts,1) (nmod:in,1) (root,1) (dresses,1) (VBG,1) 
managed/VBD	(acl:relcl,1) (NNP,1) (offered,1) (managed,1) (root,1) (VBD,2) (Maxime,1) (nmod:to,1) 
Madam/NNP	(NNP,2) (offered,1) (Madam,1) (root,1) (VBD,1) (Maxime,1) (nmod:to,1) (compound,1) 
pocket/NN	(NN,1) (nmod:in,1) (root,1) (came,1) (VBD,1) (pocket,1) 
let/VB	(ccomp,1) (Come,1) (root,1) (assured,1) (VBD,1) (let,1) (VB,2) (dep,1) 
side/NN	(NN,2) (side,1) (root,1) (VBD,1) (nmod:on,1) (compound,1) (put,1) (table,1) 
had/VBD	(root,1) (VBD,1) (had,1) 
Magic/NNP	(NNP,2) (root,1) (Magic,1) (VBD,1) (had,1) (nsubj,1) (compound,1) (Vernon,1) 
went/VBD	(reminded,1) (went,1) (root,1) (VBD,2) (advcl,1) 
sorry/JJ	(NN,1) (JJ,1) (sorry,1) (root,1) (gave,1) (VBD,1) (dobj,1) (rub,1) (dep,1) 
the/DT	(NN,1) (the,1) (DT,1) (det,1) (root,1) (list,1) 
ever/RB	(nodded,1) (RB,1) (ever,1) (advmod,1) (NNS,1) (imagine,1) (ccomp,1) (root,1) (VBD,1) (VB,1) (dobj,1) (friends,1) 
everyone/NN	(NN,2) (nmod:poss,1) (everyone,1) (root,1) (list,1) 
from/IN	(IN,1) (AND,1) (root,1) (from,1) (dobj,1) (you,1) (case,1) (VBZ,1) (PRP,1) 
treating/VBG	(trust,1) (ccomp,1) (VBP,1) (root,1) (VBG,1) (treating,1) 
upstairs/NN	(NN,1) (advmod,1) (called,1) (upstairs,1) (heading,1) (root,1) (VBD,1) (VBG,1) (advcl,1) 
rung/VBN	(VBN,1) (root,1) (rung,1) 
shield/NN	(NN,1) (shield,1) (stopped,1) (ccomp,1) (root,1) (VBD,1) (VBG,2) (moving,1) (banging,1) (dep,1) (nmod:against,1) 
