suddenly/RB	(RB,1) (advmod,1) (stopped,1) (root,1) (VBD,1) (suddenly,1) 
We/PRP	(take,1) (root,1) (VB,1) (nsubj,1) (We,1) (PRP,1) 
loo/NN	(NN,1) (went,1) (root,1) (VBD,1) (nmod:to,1) (loo,1) 
bar/NN	(NN,1) (bar,1) (went,1) (root,1) (VBD,1) (nmod:to,1) 
grin/NN	(grin,1) (NN,1) (looked,1) (nmod:with,1) (root,1) (VBD,1) 
after/IN	(recovered,1) (NNS,1) (IN,1) (root,1) (VBD,1) (days,1) (after,1) (case,1) (nmod:over,1) 
buried/VBD	(root,1) (buried,1) (VBD,1) 
sat/VBD	(took,1) (root,1) (sat,1) (VBD,2) (conj:and,1) 
!?/VBZ	(JJ,1) (root,1) (parataxis,1) (do,1) (VB,1) (!?,1) (dep,1) (delirious,1) (VBZ,1) 
see/VBP	(NNP,1) (see,1) (VBP,1) (Parvati,1) (root,1) (parataxis,1) 
possible/JJ	(JJ,1) (NNP,1) (Hermione,1) (root,1) (parataxis,1) (possible,1) 
Over/IN	(Over,1) (recovered,1) (NNS,1) (IN,1) (root,1) (VBD,1) (days,1) (case,1) (nmod:over,1) 
it/PRP	(explain,1) (root,1) (it,1) (VB,1) (dobj,1) (PRP,1) 
of/IN	(NN,1) (woman,1) (IN,1) (root,1) (of,1) (case,1) 
come/VBP	(VBP,1) (Parvati,1) (root,1) (come,1) (dep,1) (VBZ,1) 
'm/VBP	(JJ,1) (fine,1) (VBP,1) (cop,1) ('m,1) (root,1) 
In/IN	(JJ,1) (NNP,1) (In,1) (IN,1) (root,1) (nmod:'s,1) (brash,1) (Mungo,1) (case,1) 
without/IN	(IN,1) (root,1) (me,1) (thank,1) (VB,1) (dobj,1) (without,1) (case,1) (PRP,1) 
St/NNP	(JJ,1) (NNP,2) (St,1) (root,1) (nmod:'s,1) (brash,1) (Mungo,1) (compound,1) 
think/VBP	(NNP,1) (think,1) (VBP,1) (root,1) (parataxis,1) (Ginny,1) 
He/PRP	(thought,1) (root,1) (VBD,1) (nsubj,1) (He,1) (PRP,1) 
she/PRP	(she,1) (thought,1) (root,1) (VBD,1) (nsubj,1) (PRP,1) 
whole/JJ	(NN,1) (JJ,1) (ccomp,1) (embarrassing,1) (knew,1) (root,1) (VBD,1) (VBG,1) (whole,1) (nsubj,1) (amod,1) (thing,1) 
burrow/NN	(NN,1) (VBN,1) (ccomp,1) (root,1) (insisted,1) (nmod:to,1) (burrow,1) (VB,1) (return,1) 
's/POS	(NNP,1) (POS,1) (root,1) ('s,1) (Ginny,1) (case,1) 
Luna/NNP	(NN,1) (NNP,1) (VBN,1) (nmod:poss,1) (root,1) (Luna,1) (nmod:to,1) (used,1) (manner,1) 
floor/NN	(NN,1) (root,1) (VBD,1) (floor,1) (met,1) (nmod:on,1) 
done/VBN	(VBN,1) (root,1) (done,1) 
me/PRP	(root,1) (me,1) (thank,1) (VB,1) (dobj,1) (PRP,1) 
