was/VBD	(root,1) (was,1) (VBD,1) 
allow/VBP	(NN,1) (allow,1) (VBP,1) (root,1) (friend,1) (dep,1) 
lullaby/NN	(NN,2) (ccomp,1) (lullaby,1) (singing,1) (began,1) (nmod:of,1) (root,1) (VBD,1) (VBG,1) (sort,1) (dobj,1) 
permitted/VBN	(VBN,1) (permitted,1) (root,1) 
room/NN	(NN,1) (root,1) ('s,1) (nsubj,1) (room,1) (VBZ,1) 
She/PRP	(She,1) (root,1) (VBD,1) (said,1) (nsubj,1) (PRP,1) 
Which/JJ	(NN,1) (JJ,1) (root,1) (Which,1) (VBD,1) (led,1) (dobj,1) (amod,1) (way,1) 
tea-time/NN	(remember,1) (NN,1) (nmod:at,1) (ccomp,1) (VBP,1) (root,1) (hope,1) (VB,1) (tea-time,1) 
made/VBN	(NN,1) (acl:relcl,1) (VBN,1) (made,1) (root,1) (remark,1) 
encourage/VB	(encourage,1) (root,1) (VB,2) (xcomp,1) (seem,1) 
is/VBZ	(VBP,1) (root,1) (HAVE,1) (is,1) (conj:and,1) (VBZ,1) 
trumpet/NN	(NN,1) (blew,1) (made,1) (trumpet,1) (root,1) (VBD,2) (nmod:on,1) (dep,1) 
once/RB	(NN,1) (VBN,1) (VBP,1) (crowded,1) (conj:and,1) (amod,1) (RB,1) (advmod,1) (round,1) (once,1) (root,1) (VBD,1) (said,1) (nsubj,1) (party,1) 
blew/VBD	(blew,1) (made,1) (root,1) (VBD,2) (dep,1) 
unrolled/VBD	(made,1) (root,1) (VBD,2) (unrolled,1) (dep,1) 
So/IN	(began,1) (IN,1) (root,1) (VBD,1) (So,1) (dep,1) 
Stop/VB	(ccomp,1) (VBP,1) (Stop,1) (tell,1) (root,1) (VB,1) 
very/RB	(JJ,1) (RB,1) (very,1) (advmod,1) (root,1) (xcomp,1) (knows,1) (VBZ,1) (little,1) 
he/PRP	(root,1) (VBD,1) (said,1) (nsubj,1) (he,1) (PRP,1) 
use/NN	(NN,1) (use,1) (root,1) ('s,1) (nsubj,1) (VBZ,1) 
jury/NN	(NN,1) (jury,1) (root,1) (VBD,1) (nmod:to,1) (said,1) 
ALL/NNP	(ALL,1) (NNP,1) (PERSONS,1) (root,1) (nsubj,1) (VBZ,1) 
yawned/VBD	(VBP,1) (root,1) (yawned,1) (HAVE,1) (VBD,1) (parataxis,1) 
See/VB	(See,1) (root,1) (VB,1) 
nevertheless/RB	(RB,1) (conj:but,1) (advmod,1) (nevertheless,1) (uncorked,1) (root,1) (was,1) (VBD,2) 
boy/NN	(NN,1) (Speak,1) (began,1) (root,1) (VBD,1) (nmod:to,1) (VBG,1) (boy,1) (xcomp,1) 
fancied/VBD	(waiting,1) (fancied,1) (root,1) (VBD,1) (VBG,1) (advcl,1) 
kindly/RB	(kindly,1) (RB,1) (advmod,1) (VBN,1) (permitted,1) (root,1) 
walrus/NN	(NN,1) (ccomp,1) (thought,1) (walrus,1) (root,1) (VBD,1) 
somewhere/RB	(getting,1) (RB,1) (advmod,1) (root,1) (VBG,1) (somewhere,1) 
wildly/RB	(RB,1) (advmod,1) (VBN,1) (IN,1) (root,1) (about,1) (nmod:to,1) (used,1) (it,1) (wildly,1) (case,1) (PRP,1) 
reason/NN	(NN,1) (reason,1) (ccomp,1) (Tell,1) (nmod:about,1) (root,1) (VBD,1) (said,1) (VB,1) 
ready/JJ	(JJ,1) (replied,1) (ready,1) (root,1) (VBD,1) (advcl,1) 
nonsense/VBD	(root,1) (VBD,1) (nonsense,1) 
made/VBD	(made,1) (root,1) (VBD,1) 
child/NN	(NN,1) (ccomp,1) (began,1) (root,1) (VBD,1) (nursing,1) (VBG,1) (dobj,1) (child,1) 
long/JJ	(NN,1) (JJ,1) (VBN,1) (root,1) (silence,1) (nmod:agent,1) (amod,1) (followed,1) (long,1) 
tureen/NN	(NN,1) (Turtle,1) (NNP,1) (nmod:in,1) (tureen,1) (root,1) (VBG,1) (parataxis,1) (Waiting,1) 
mouths/NNS	(NNS,1) (nmod:in,1) (VBP,1) (root,1) (HAVE,1) (mouths,1) 
minded/VBD	(root,1) (go,1) (VBD,1) (minded,1) (advcl,1) (VB,1) 
get/VB	(get,1) (root,1) (VB,1) 
her/PRP$	(NN,1) (PRP$,1) (nmod:poss,1) (her,1) (root,1) (VBD,1) (dobj,1) (spread,1) (hand,1) 
Really/RB	(RB,1) (Really,1) (advmod,1) (cross-examine,1) (ccomp,1) (added,1) (root,1) (VBD,1) (VB,1) 
But/CC	(But,1) (CC,1) (cc,1) (VBN,1) (root,1) (used,1) 
pointing/VBG	(root,1) (VBD,1) (pointing,1) (VBG,1) (advcl,1) (said,1) 
forgotten/VBN	(VBN,1) (root,1) (forgotten,1) 
LEAVE/VB	(PERSONS,1) (root,1) (LEAVE,1) (VB,1) (xcomp,1) (VBZ,1) 
earth/NN	(getting,1) (NN,2) (nmod:of,1) (root,1) (earth,1) (centre,1) (VBG,1) (nmod:near,1) 
hot/JJ	(NN,1) (JJ,1) (Turtle,1) (NNP,1) (nmod:in,1) (tureen,1) (root,1) (VBG,1) (parataxis,1) (hot,1) (amod,1) (Waiting,1) 
label/NN	(NN,1) (root,1) (was,1) (VBD,1) (label,1) (iobj,1) 
HAVE/VBP	(VBP,1) (root,1) (HAVE,1) 
deal/NN	(NN,1) (deal,1) (root,1) ('s,1) (nsubj,1) (VBZ,1) 
rather/RB	(RB,2) (advmod,2) (rather,1) (sharply,1) (root,1) (VBD,1) (said,1) 
THE/NNP	(THE,1) (NNP,2) (BOOTS,1) (root,1) (DOES,1) (dobj,1) (compound,1) (VBZ,1) 
Dinah/NNP	(NN,1) (NNP,1) (replied,1) (root,1) (cat,1) (VBD,1) (parataxis,1) (nsubj,1) (Dinah,1) 
three/CD	(CD,1) (NNS,1) (VBN,1) (answered,1) (nummod,1) (root,1) (questions,1) (dobj,1) (three,1) 
as/IN	(JJ,1) (as,1) (went,1) (usual,1) (IN,1) (root,1) (VBD,1) (advcl,1) (case,1) 
shifting/VBG	(root,1) (VBD,1) (parataxis,1) (VBG,1) (VB,1) (kept,1) (xcomp,1) (seem,1) (shifting,1) 
beat/VB	(began,1) (root,1) (beat,1) (VBD,1) (VB,1) (xcomp,1) 
spell/VB	(spell,1) (ccomp,2) (root,1) (know,1) (VB,3) (make,1) 
